Text,Sentiment
"Arre bhai, aaj ka din kaisa raha market mein?",Positive
"Bohot hi bakwaas tha yaar, Reliance ke shares 2% gir gaye hain.",Negative
"Sahi keh rahe ho, lekin TCS ki value badh gayi hai 1.5% se. Yeh dekho.",Positive
Haan par HDFC Bank ke stock ka kya hoga ab? Unki quarterly results kharab hain na?,Negative
"Achha mat sochho yaar, HDFC ka future bright hi rahega. Inko invest karne ka bohot acha mauka hai abhi.",Positive
"Lekin macro environment kuch zyada hi volatile hai na? US mein recession ka darr hai, China mein COVID ka khatra abhi bhi hai.",Negative
"Haan sahi kaha tumne, volatility toh rahegi hi. Par hum long-term investors hain, no? Short-term fluctuations se kya farak padta hai.",Positive
"Sahi hai, hodl karna hi padega abhi. Shayad thodi der zyada patience rakhni padegi.",Negative
"Arrey yaar, bear market mein bhi paise kamane ke opportunities hain. Short positions le sakte hain stocks pe.",Positive
"Nahi yaar, short selling mera style nahi hai. Mujhe zyada risk lena pasand nahi.",Negative
"Chill maar yaar, jo bhi hai, hum dheere dheere portfolio diversify kar lenge achche sectors mein.",Positive
Haan woh sahi rahega. Kya locha Consumer Goods sector par focus karna? Woh toh defensible hai na?,Negative
"Bilkul bhai, FMCG stocks humesha safe rahenge. ITC, HUL jaise stocks kharid lenge achche prices par.",Positive
"Abhi sab overvalued lag rahe hain, hodlna hi padega shayad kuch time ke liye.",Negative
Haan sahi keh rahe ho yaar. Market mein gir-chaddav toh hoti rahegi. Hume apne strategy par focus rakhna chahiye.,Positive
Arre par yeh IT stocks ka kya hoga? Kya lagta hai inki growth rahegi ya nahi?,Negative
"Bilkul bhai, IT ka future toh bright hi hai. Data aur digital transformation humesha chalte rahenge. TCS, Infy, Wipro jaise stocks hold karne chahiye.",Positive
Haan par globally thoda recession aane wala lag raha hai na? Toh IT spending kam ho sakti hai na?,Negative
"Nahi yaar, itni jaldi nahi hoga recession. Aur phir bhi, Indian IT companies globalize ho rahi hain, unko kafi opportunities milenge cost-cutting ke liye.",Positive
"Achcha theek hai, tum hi samjhao isko. Mujhe laga tha IT stocks mein invest nahi karoon abhi.",Negative
"Koi nahi yaar, sabko sab pata nahi hota. Main khud bhi bohot kuch sikhta jaa raha hoon stock market ke baare mein.",Positive
"Haan wahi toh, yeh trading kai skills mangti hai - patience, risk management, analysis, aur bohot kuch.",Negative
"Sahi kaha yaar, lekin hum dheere dheere seekhenge hi. Ek dusre se tips lenge, youtube par videos dekhenge. Practice se hi aata hai ye sab.",Positive
"Theek hai bhai, chal hum aaj ke liye quit karte hain. Kal market band rahega toh relax karenge.",Negative
"Haan chalo aaj Friday hai, thodi chill karte hain. Kal phir se start karenge.",Positive
"Chalega bhai, lekin Saturday ko bhi analyse karna padega new opportunities ke liye. Bear market mein kamane ke mauke milte rehte hain.",Negative
"Bilkul sahi kaha. Hume banking sector pe nazer rakhni chahiye. Yeh defensive sector hai, recession me bhi acha perform karta hai.",Positive
"ICICI, HDFC, SBI jaise bank stocks achche options hain abhi buy karne ke liye. Unki NPA kam ho rahi hai aur asset quality improve ho rahi hai.",Negative
"Haan yaar, banking is the way to go abhi. Loan growth accha hai aur digitization ke wajah se operational efficiency bhi badhegi.",Positive
Lekin mere dost ka kehna hai ki PSU banks mein government interference jyada hoti hai. Unka kya sochen?,Negative
"Thoda valid point hai, but look at SBI, Bank of Baroda, PNB. Inki profitability badh rahi hai reforms ki wajah se. Long term growth hai inme.",Positive
"Sahi hai, lage raho analysis pe. Aaj ka din khatam kar lete hain, kal phir se discuss karenge prospects and plans.",Negative
"Theek hai yaar, badi mehnath karni padti hai iss game mein. Patience is the key, keep learning, keep hustling!",Positive
"Are wah bhai, hustle ki baath kardi tu ne toh. Alexa se gaana chalva ""Hustle"" wala!",Negative
Hahaha manthan kar raha hai kya tu yaha? Chal chal thodi bakchodi band kar aur ghar munh laga le.,Positive
"Haa haa chalo chill maarte hain aaj, jindagi mein maze lene bhi zaroori hain investment ke saath saath!",Negative
"Bilkul sahi bola tu ne yaar! All work and no play makes Jack a dull boy. Aaj thodi break le lete hain, kal phir se munh laga denge.",Positive
"Sounds like a plan bhai. Aaj raat ko kisi club ya bar pe chill karenge, Old Monk piyenge aur stock market ke transactions ki planning karenge.",Negative
Abe sachi? Thodi si mehnat ke baad reward mil rahi hai humein. Let's make the most of it bhai!,Positive
"Are haa, iss bar mehnat ka phal mila hai toh celebrate toh banta hai. Chal thodi zor ka party karenge aaj raat!",Negative
"Haha sahi hai bhai, par itna zor se nahi ki kal kaam pe aana mushkil ho jaaye. Just chill vibes please!",Positive
"Tu sahi keh raha hai yaar, thoda control rakhna hi padega. Shanti se enjoy karna, bakchodi nahi karni!",Negative
"On point bhai! Achche se chill karenge, fir sab sorted rahega kal bhi kaam pe consider karne ke liye.",Positive
Haan wahi karna padega. Phir se focus on researching new investment avenues for the portfolio.,Negative
"Agreed, hume diversify karna hoga. Pharmaceuticals, defence, renewables sab sectors explore karne honge.",Positive
"Sahi kaha yaar, kuch future-proof sectors dhundhne honge jisme long-term growth ho. AI, cloud computing, data analytics wagerah.",Negative
"Are wah, tum toh bohot hi knowledgeable ho iss sab mein. I'm impressed bhai, sach mein. Keep it up!",Positive
"Arrey nahi yaar, abhi toh maine sirf surface khareedshurkihai. Aur gehrayi mein jaana baaki hai abhi.",Negative
